Capacity,Occupancy,rownum,linear_fill,cubic_fill
1354.0,248.1764705882353,0,248.1764705882353,248.1764705882353
,,1,296.3739495798319,197.0471023673894
1392.142857142857,344.57142857142856,2,344.57142857142856,344.57142857142856
,,3,391.8571428571429,491.63987242252665
1392.142857142857,439.14285714285717,4,439.14285714285717,439.1428571428572
,,5,261.57142857142856,131.09403819460542
450.0,84.0,6,84.0,84.0
1427.037037037037,548.925925925926,7,548.925925925926,548.9259259259259
1392.142857142857,611.0357142857143,8,611.0357142857143,611.0357142857143
,,9,642.9107142857143,630.2961923254567
1392.142857142857,674.7857142857143,10,674.7857142857143,674.7857142857144
,,11,706.3214285714287,670.8133987562649
1392.142857142857,737.8571428571429,12,737.8571428571429,737.8571428571429
,,13,757.8544973544974,921.409372702395
1425.1851851851852,777.8518518518518,14,777.8518518518518,777.8518518518517
475.0,310.5,15,310.5,310.5
1451.090909090909,861.7272727272727,16,861.7272727272727,861.7272727272726
,,17,852.5673400673401,1106.9109896335992
1427.037037037037,843.4074074074074,18,843.4074074074074,843.4074074074074
,,19,608.7037037037037,425.32313473515063
485.0,374.0,20,374.0,374.0
1425.7407407407406,836.5185185185185,21,836.5185185185185,836.5185185185185
1392.142857142857,813.7142857142857,22,813.7142857142857,813.7142857142857
,,23,811.1547619047619,752.5487491342834
,,24,808.5952380952381,778.2339557298128
1392.142857142857,806.0357142857143,25,806.0357142857143,806.0357142857144
1392.142857142857,782.2142857142857,26,782.2142857142857,782.2142857142857
,,27,763.5714285714286,758.6677362405493
1392.142857142857,744.9285714285714,28,744.9285714285714,744.9285714285714
,,29,730.2380952380953,733.166209727697
,,30,715.547619047619,719.4577339168015
1392.142857142857,700.8571428571429,31,700.8571428571429,700.8571428571428
,,32,672.6071428571429,675.3136269625504
1392.142857142857,644.3571428571429,33,644.3571428571429,644.357142857143
,,34,614.1785714285714,611.4246058775304
1392.142857142857,584.0,35,584.0,584.0
,,36,579.6741803278688,569.0530400620135
,,37,575.3483606557377,567.4492957060526
,,38,571.0225409836065,578.5283002758553
,,39,566.6967213114754,601.6295871151588
,,40,562.3709016393443,636.0926895677004
,,41,558.0450819672132,681.2571409772178
,,42,553.719262295082,736.4624746874482
,,43,549.3934426229508,801.0482240421289
,,44,545.0676229508197,874.3539223849976
,,45,540.7418032786885,955.7191030597919
,,46,536.4159836065573,1044.4832994102485
,,47,532.0901639344262,1139.9860447801054
,,48,527.764344262295,1241.5668725131
,,49,523.438524590164,1348.56531595297
,,50,519.1127049180328,1460.3209084434516
,,51,514.7868852459017,1576.1731833282831
,,52,510.4610655737705,1695.4616739512026
,,53,506.13524590163934,1817.525913655946
,,54,501.8094262295082,1941.7054357862514
,,55,497.4836065573771,2067.3397736858574
,,56,493.1577868852459,2193.768460698499
,,57,488.83196721311475,2320.3310301679153
,,58,484.50614754098365,2446.3670154378433
,,59,480.1803278688525,2571.2159498520205
,,60,475.8545081967213,2694.2173667541842
,,61,471.52868852459017,2814.7107994880726
,,62,467.202868852459,2932.035781397422
,,63,462.87704918032784,3045.53184582597
,,64,458.55122950819674,3154.5385261174547
,,65,454.2254098360656,3258.395355615612
,,66,449.8995901639345,3356.4418676641817
,,67,445.5737704918033,3448.0175956068992
,,68,441.24795081967216,3532.4620727875026
,,69,436.922131147541,3609.1148325497306
,,70,432.59631147540983,3677.315408237318
,,71,428.2704918032787,3736.4033331940022
,,72,423.9446721311475,3785.718140763524
,,73,419.6188524590164,3824.5993642896187
,,74,415.29303278688525,3852.3865371160236
,,75,410.96721311475414,3868.419192586476
,,76,406.641393442623,3872.036864044715
,,77,402.3155737704918,3862.579084834475
,,78,397.98975409836066,3839.3853882994954
,,79,393.6639344262295,3801.795307783514
,,80,389.33811475409834,3749.148376630267
,,81,385.01229508196724,3680.7841281834926
,,82,380.6864754098361,3596.0420957869273
,,83,376.3606557377049,3494.26181278431
,,84,372.0348360655738,3374.782812519377
,,85,367.70901639344265,3236.9446283358657
,,86,363.3831967213115,3080.086793577515
,,87,359.05737704918033,2903.5488415880604
,,88,354.73155737704917,2706.6703057112386
,,89,350.405737704918,2488.790719290791
,,90,346.0799180327869,2249.2496156704515
,,91,341.75409836065575,1987.386528193958
,,92,337.42827868852464,1702.540990205049
,,93,333.1024590163935,1394.0525350474613
,,94,328.7766393442623,1061.260696064932
,,95,324.45081967213116,703.5050066011994
1369.75,320.125,96,320.125,320.125
,,97,182.5625,-18.14606148994711
450.0,45.0,98,45.0,45.0
1409.7391304347825,423.6521739130435,99,423.6521739130435,423.6521739130435
450.0,49.0,100,49.0,49.000000000000014
1409.7391304347825,532.304347826087,101,532.304347826087,532.3043478260871
,,102,563.4646739130435,731.718377078408
1369.75,594.625,103,594.625,594.625
,,104,636.1666666666667,538.2840090137124
1369.75,677.7083333333334,105,677.7083333333334,677.7083333333333
,,106,697.75,929.3659220116698
1369.75,717.7916666666666,107,717.7916666666666,717.7916666666667
450.0,87.0,108,87.0,87.0
1409.7391304347825,773.3913043478261,109,773.3913043478261,773.3913043478261
,,110,762.7164855072464,952.9396434182174
1369.75,752.0416666666666,111,752.0416666666666,752.0416666666667
,,112,756.5833333333333,831.4089603440433
1369.75,761.125,113,761.125,761.125
485.0,376.0,114,376.0,376.0
1408.2173913043478,779.4782608695652,115,779.4782608695652,779.4782608695652
1369.75,761.125,116,761.125,761.1249999999999
,,117,759.6527777777778,693.486615141627
,,118,758.1805555555555,719.5221008145686
1369.75,756.7083333333334,119,756.7083333333334,756.7083333333335
1369.75,752.4583333333334,120,752.4583333333334,752.4583333333335
,,121,745.9722222222223,753.5811248560187
