LastUpdated,Capacity,Occupancy
2016-10-04 07:45:00,1354.0,248.1764705882353
2016-10-04 08:00:00,1392.142857142857,344.57142857142856
2016-10-04 08:15:00,1392.142857142857,344.57142857142856
2016-10-04 08:30:00,1392.142857142857,439.14285714285717
2016-10-04 08:45:00,1392.142857142857,439.14285714285717
2016-10-04 09:00:00,450.0,84.0
2016-10-04 09:15:00,450.0,84.0
2016-10-04 09:30:00,1427.037037037037,548.925925925926
2016-10-04 09:45:00,1392.142857142857,611.0357142857143
2016-10-04 10:00:00,1392.142857142857,674.7857142857143
2016-10-04 10:15:00,1392.142857142857,674.7857142857143
2016-10-04 10:30:00,1392.142857142857,737.8571428571429
2016-10-04 10:45:00,1392.142857142857,737.8571428571429
2016-10-04 11:00:00,1425.1851851851852,777.8518518518518
2016-10-04 11:15:00,1425.1851851851852,777.8518518518518
2016-10-04 11:30:00,475.0,310.5
2016-10-04 11:45:00,1451.090909090909,861.7272727272727
2016-10-04 12:00:00,1427.037037037037,843.4074074074074
2016-10-04 12:15:00,1427.037037037037,843.4074074074074
2016-10-04 12:30:00,485.0,374.0
2016-10-04 12:45:00,485.0,374.0
2016-10-04 13:00:00,1425.7407407407406,836.5185185185185
2016-10-04 13:15:00,1392.142857142857,813.7142857142857
2016-10-04 13:30:00,1392.142857142857,806.0357142857143
2016-10-04 13:45:00,1392.142857142857,806.0357142857143
2016-10-04 14:00:00,1392.142857142857,806.0357142857143
2016-10-04 14:15:00,1392.142857142857,782.2142857142857
2016-10-04 14:30:00,1392.142857142857,744.9285714285714
2016-10-04 14:45:00,1392.142857142857,744.9285714285714
2016-10-04 15:00:00,1392.142857142857,700.8571428571429
2016-10-04 15:15:00,1392.142857142857,700.8571428571429
2016-10-04 15:30:00,1392.142857142857,700.8571428571429
2016-10-04 15:45:00,1392.142857142857,644.3571428571429
2016-10-04 16:00:00,1392.142857142857,644.3571428571429
2016-10-04 16:15:00,1392.142857142857,584.0
2016-10-04 16:30:00,1392.142857142857,584.0
2016-10-04 16:45:00,1369.75,320.125
2016-10-04 17:00:00,1369.75,320.125
2016-10-04 17:15:00,1369.75,320.125
